Sample,A0,A1,A2
385,539.0,317.0,201.0
386,544.0,317.0,204.0
387,549.0,315.0,207.0
388,551.0,314.0,209.0
389,551.0,311.0,210.0
390,544.0,308.0,208.0
391,547.0,303.0,204.0
392,552.0,305.0,203.0
393,556.0,311.0,206.0
394,556.0,317.0,209.0
395,556.0,321.0,212.0
396,554.0,321.0,213.0
397,552.0,317.0,212.0
398,547.0,312.0,209.0
399,536.0,313.0,205.0
400,533.0,316.0,201.0
401,537.0,317.0,201.0
402,541.0,317.0,200.0
403,546.0,317.0,202.0
404,550.0,315.0,207.0
405,551.0,313.0,210.0
406,550.0,310.0,212.0
407,544.0,306.0,210.0
408,549.0,304.0,206.0
409,553.0,308.0,206.0
410,556.0,314.0,208.0
411,556.0,320.0,211.0
412,556.0,322.0,213.0
413,553.0,321.0,214.0
414,549.0,316.0,213.0
415,543.0,312.0,210.0
416,535.0,314.0,205.0
417,535.0,316.0,202.0
418,538.0,318.0,200.0
419,544.0,318.0,201.0
420,547.0,317.0,204.0
421,551.0,315.0,207.0
422,552.0,313.0,210.0
423,546.0,310.0,211.0
424,546.0,305.0,208.0
425,550.0,306.0,206.0
426,554.0,310.0,207.0
427,557.0,317.0,210.0
428,557.0,322.0,212.0
429,555.0,323.0,214.0
430,552.0,320.0,214.0
431,548.0,314.0,213.0
432,539.0,313.0,209.0
433,533.0,316.0,205.0
434,536.0,317.0,203.0
435,541.0,318.0,202.0
436,545.0,318.0,204.0
437,549.0,316.0,206.0
438,551.0,315.0,208.0
439,551.0,312.0,210.0
440,545.0,308.0,208.0
441,548.0,304.0,204.0
442,552.0,307.0,204.0
443,555.0,313.0,208.0
444,557.0,319.0,209.0
445,557.0,322.0,212.0
446,555.0,323.0,212.0
447,551.0,318.0,211.0
448,546.0,313.0,209.0
449,536.0,315.0,204.0
450,533.0,317.0,201.0
451,537.0,318.0,199.0
452,542.0,319.0,200.0
453,546.0,317.0,203.0
454,550.0,316.0,204.0
455,552.0,314.0,206.0
456,550.0,311.0,205.0
457,545.0,306.0,202.0
458,549.0,304.0,199.0
459,554.0,307.0,200.0
460,556.0,315.0,203.0
461,557.0,321.0,206.0
462,556.0,324.0,208.0
463,553.0,321.0,208.0
464,551.0,315.0,206.0
465,543.0,313.0,203.0
466,534.0,315.0,199.0
467,535.0,318.0,196.0
468,540.0,318.0,197.0
